,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3291,LassoLars alpha 0.001,Exponential,Logarithm,505 nm LED,0.6219674036718429,0.027460880310618385,0.49065301353257185,0.029717184294581717
3292,LassoLars alpha 0.001,Logarithm,None,505 nm LED,0.7135464944580916,0.0204095471351501,0.5876794781880189,0.021911506080333258
3293,LassoLars alpha 0.001,Logarithm,Logarithm,505 nm LED,0.6893962643886925,0.02203229206011396,0.545366944704514,0.024537011419628253
3294,LassoLars alpha 0.001,Reciprocol,None,505 nm LED,-2.624588075349469,0.038200048253461016,-1.113298511072775,0.040524074255417375
3295,LassoLars alpha 0.001,Reciprocol,Exponential,505 nm LED,-0.16598689378399878,0.047397671895331145,-0.8368683353845203,0.0566273718070537
3296,LassoLars alpha 0.001,Reciprocol,Logarithm,505 nm LED,-1.7908436205506022,0.03505926361756891,-0.9855795742324791,0.040050847394664635
3297,Ridge alpha 0.01,None,None,505 nm LED,0.7146095685410951,0.022380756097771855,0.5644410820884561,0.024352033329172535
3298,Ridge alpha 0.01,None,Exponential,505 nm LED,0.11069903198927944,0.04245194610594722,-37060581434058.984,41186.11575977084
3299,Ridge alpha 0.01,None,Logarithm,505 nm LED,0.6891645080742271,0.024088664979012943,0.5286213734485617,0.026872545907687458
3300,Ridge alpha 0.01,Exponential,None,505 nm LED,0.7083130281904133,0.02294671181194596,0.5531036327791327,0.0249130782272107
3301,Ridge alpha 0.01,Exponential,Logarithm,505 nm LED,0.6811563381936099,0.02474183548693693,0.5128670666973403,0.027610250862921005
3302,Ridge alpha 0.01,Logarithm,None,505 nm LED,0.6967590665532107,0.02101464179989352,0.547172270171078,0.02266393272296641
3303,Ridge alpha 0.01,Logarithm,Exponential,505 nm LED,0.0579802573920255,0.04203870630961164,-inf,1.5597115075078591e+156
3304,Ridge alpha 0.01,Logarithm,Logarithm,505 nm LED,0.6752273372079322,0.02245450807626379,0.5134371822212611,0.02521163555869994
