,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
2258,Lasso alpha 5,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2259,Lasso alpha 2,None,None,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2260,Lasso alpha 2,None,Exponential,465 nm LED,0.038931698580362384,0.1641096035600714,-23879687713872.918,135562.70572291125
2261,Lasso alpha 2,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2262,Lasso alpha 2,Exponential,None,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2263,Lasso alpha 2,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2264,Lasso alpha 2,Logarithm,None,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2265,Lasso alpha 2,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2266,Lasso alpha 2,Reciprocol,None,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.32179701572936065,0.1856447583398697
2267,Lasso alpha 2,Reciprocol,Exponential,465 nm LED,-0.1207519305500655,0.17796682479131187,-1.154656794627563,0.22889548479621089
2268,Lasso alpha 2,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2269,Lasso alpha 1,None,None,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2270,Lasso alpha 1,None,Exponential,465 nm LED,0.03893169858035628,0.1641096035600607,-23879688444168.44,135562.70784615295
2271,Lasso alpha 1,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2272,Lasso alpha 1,Exponential,None,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2273,Lasso alpha 1,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2274,Lasso alpha 1,Logarithm,None,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.1784306145157145,0.17690351252481815
2275,Lasso alpha 1,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2276,Lasso alpha 1,Reciprocol,None,465 nm LED,0.050107303386496826,0.16654380611758815,-0.09595793073019025,0.17027744388510152
2277,Lasso alpha 1,Reciprocol,Exponential,465 nm LED,-0.12075193055009059,0.17796682479131698,-1.1546568238326391,0.2288954857076375
2278,Lasso alpha 1,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2279,Lasso alpha 0.2,None,None,465 nm LED,0.29992058617217643,0.1449508763779334,0.1917392233618084,0.1499750419165881
2280,Lasso alpha 0.2,None,Exponential,465 nm LED,0.03893169858035084,0.16410960356005214,-23879689028404.562,135562.7095447454
2281,Lasso alpha 0.2,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2282,Lasso alpha 0.2,Exponential,None,465 nm LED,0.5303127739477909,0.11598907076467688,0.4669419224799138,0.11942749978770809
2283,Lasso alpha 0.2,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2284,Lasso alpha 0.2,Logarithm,None,465 nm LED,0.5614069999107671,0.10780816338734943,0.4995346777730295,0.10978144281733623
2285,Lasso alpha 0.2,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2286,Lasso alpha 0.2,Reciprocol,None,465 nm LED,0.46655927879998993,0.10729090350458735,0.23048702986949468,0.11638796977044008
2287,Lasso alpha 0.2,Reciprocol,Exponential,465 nm LED,-0.12075193055010991,0.17796682479132095,-1.1546568471967176,0.2288954864367791
2288,Lasso alpha 0.2,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2289,LassoLars alpha 1,None,None,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2290,LassoLars alpha 1,None,Exponential,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2291,LassoLars alpha 1,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2292,LassoLars alpha 1,Exponential,None,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2293,LassoLars alpha 1,Exponential,Exponential,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2294,LassoLars alpha 1,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2295,LassoLars alpha 1,Logarithm,None,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2296,LassoLars alpha 1,Logarithm,Exponential,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2297,LassoLars alpha 1,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2298,LassoLars alpha 1,Reciprocol,None,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2299,LassoLars alpha 1,Reciprocol,Exponential,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2300,LassoLars alpha 1,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2301,LassoLars alpha 0.1,None,None,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2302,LassoLars alpha 0.1,None,Exponential,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2303,LassoLars alpha 0.1,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2304,LassoLars alpha 0.1,Exponential,None,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2305,LassoLars alpha 0.1,Exponential,Exponential,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2306,LassoLars alpha 0.1,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2307,LassoLars alpha 0.1,Logarithm,None,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2308,LassoLars alpha 0.1,Logarithm,Exponential,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2309,LassoLars alpha 0.1,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2310,LassoLars alpha 0.1,Reciprocol,None,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2311,LassoLars alpha 0.1,Reciprocol,Exponential,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2312,LassoLars alpha 0.1,Reciprocol,Logarithm,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2313,LassoLars alpha 0.01,None,None,465 nm LED,0.0,0.17121315383888894,-0.11257393481053324,0.17240023777296662
2314,LassoLars alpha 0.01,None,Exponential,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2315,LassoLars alpha 0.01,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.10730476208157395,0.17188670621385455
2316,LassoLars alpha 0.01,Exponential,None,465 nm LED,0.256135269619734,0.1481481646445763,0.23765797781080417,0.14452227093829734
2317,LassoLars alpha 0.01,Exponential,Exponential,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2318,LassoLars alpha 0.01,Exponential,Logarithm,465 nm LED,0.31581917903743706,0.142501583180177,0.2926399385934026,0.1406817479410218
2319,LassoLars alpha 0.01,Logarithm,None,465 nm LED,0.32864294040244835,0.13979047130032737,0.30822533448318223,0.13430296420147778
2320,LassoLars alpha 0.01,Logarithm,Exponential,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2321,LassoLars alpha 0.01,Logarithm,Logarithm,465 nm LED,0.37984490852627373,0.13417074065447324,0.35482369945937703,0.13014052970656118
2322,LassoLars alpha 0.01,Reciprocol,None,465 nm LED,0.5359662502695074,0.10567271379467927,0.44915160646533314,0.10882046607286737
2323,LassoLars alpha 0.01,Reciprocol,Exponential,465 nm LED,-0.16293683183508723,0.1841378461092762,-1.265625470615195,0.2129574406927052
2324,LassoLars alpha 0.01,Reciprocol,Logarithm,465 nm LED,0.4766435200612489,0.10885713339303668,0.23825153481908465,0.11399992504967109
2325,LassoLars alpha 0.001,None,None,465 nm LED,0.6451418003659456,0.09549398478023789,0.5778655445237038,0.09830763867585593
2326,LassoLars alpha 0.001,None,Exponential,465 nm LED,0.012283507953025463,0.1690314383458231,-1226699.7998065134,30.819800625599065
