,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
1287,PLS 1-component,Exponential,None,405 nm LED,0.34296121212197817,0.09991599675340755,0.28432156895549804,0.1021776303514396
1288,PLS 1-component,Exponential,Exponential,405 nm LED,0.01573440126651704,0.12128361354294871,-849.8194187216443,0.7691073042035409
1289,PLS 1-component,Exponential,Logarithm,405 nm LED,0.4136898460806572,0.09291960041652404,0.36668714602243707,0.09495016446303381
1290,PLS 1-component,Logarithm,None,405 nm LED,0.1966057100924251,0.10245570709079439,0.12884073256844164,0.10500081812649462
1291,PLS 1-component,Logarithm,Logarithm,405 nm LED,0.31933906306573656,0.09559136582044937,0.27425970710058656,0.09693755646723265
1292,PLS 1-component,Reciprocol,None,405 nm LED,-1.0029575518736333,0.12216107549406258,-2.7597817223145693,0.14219513575597137
1293,PLS 1-component,Reciprocol,Exponential,405 nm LED,-0.11673523636729133,0.13206899951643475,-0.5317442631235313,0.1470480621787606
1294,PLS 1-component,Reciprocol,Logarithm,405 nm LED,0.07493911955954458,0.1043278065443493,-0.023093401394938096,0.1081515679400156
1295,PLS 2-component,None,None,405 nm LED,0.41512376130723594,0.09487601384776492,0.3122332241977094,0.09933154859658899
1296,PLS 2-component,None,Exponential,405 nm LED,0.02245160840865945,0.12092897486913784,-7.6730815558144675e+31,179085742183573.3
1297,PLS 2-component,None,Logarithm,405 nm LED,0.5008860220777243,0.0854164015641237,0.378828995728783,0.09106777626450385
1298,PLS 2-component,Exponential,None,405 nm LED,0.43486246345043755,0.09431411222426982,0.33074751833117916,0.0987340358657376
1299,PLS 2-component,Exponential,Exponential,405 nm LED,0.017102521120232472,0.12061174126166331,-895.45646602007,0.7815128717572197
1300,PLS 2-component,Exponential,Logarithm,405 nm LED,0.5170598132966469,0.08510027908438696,0.3967009495123591,0.09057750996771688
1301,PLS 2-component,Logarithm,None,405 nm LED,0.29783108641744616,0.09924154800460118,0.17988437992856302,0.10487080895605509
1302,PLS 2-component,Logarithm,Logarithm,405 nm LED,0.4235891919235649,0.08945885159751928,0.28256856869716573,0.09639913889062371
1303,PLS 2-component,Reciprocol,None,405 nm LED,-0.44748603622611993,0.12055367652590805,-1.0840810431663206,0.13324255734310483
1304,PLS 2-component,Reciprocol,Exponential,405 nm LED,-0.1187930507901267,0.13138380730686153,-0.5339984286616307,0.14713722464779358
1305,PLS 2-component,Reciprocol,Logarithm,405 nm LED,0.21910986607632266,0.10186118879318498,-0.02497179408743695,0.11097147342127378
1306,PLS 3-component,None,None,405 nm LED,0.5722142607191606,0.07749305462683624,0.4692888075694789,0.0825380760558994
1307,PLS 3-component,None,Exponential,405 nm LED,0.022561452302637175,0.12101378862482612,-7.803028019433871e+31,180595817124427.84
1308,PLS 3-component,None,Logarithm,405 nm LED,0.5796175722459795,0.07751321853501361,0.4536956472125312,0.08335791198960679
1309,PLS 3-component,Exponential,None,405 nm LED,0.5750250101565064,0.07784838918157495,0.4677394286253834,0.08276966258733107
1310,PLS 3-component,Exponential,Exponential,405 nm LED,0.017204001323655294,0.12068053388704598,-924.9782213260945,0.8562024613594879
1311,PLS 3-component,Exponential,Logarithm,405 nm LED,0.5835651996683336,0.07819971821554503,0.44536343543432233,0.08390742260421766
1312,PLS 3-component,Logarithm,None,405 nm LED,0.5010488663821999,0.08145371666607866,0.3742952694855568,0.08624685528798835
1313,PLS 3-component,Logarithm,Logarithm,405 nm LED,0.5132107469990825,0.08054702042343685,0.3471970501564202,0.08785958734451253
1314,PLS 3-component,Reciprocol,None,405 nm LED,-0.03409433497309,0.10118324988594936,-0.3678976010401483,0.10979255227946705
1315,PLS 3-component,Reciprocol,Exponential,405 nm LED,-0.11897342496286534,0.13141263263434705,-2.6723179383130544,0.17618424291867513
