Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,100,    83.000,    73.325,    70.950,    84.950,   124.875,    66.225,    79.275,   131.925,    77.325,   118.450,   153.950,    69.150,   124.400,   183.900,  1931.900,  4553.775,  2821.775,  1191.225,b'IR',50 mA,b'OK Read',10:28:27
1,1,64,100,  5683.800,   728.625,    54.250,    49.175,    30.275,    22.625,    29.550,    24.825,     8.600,    39.475,    46.975,    57.625,    92.725,    53.450,    17.525,     8.550,    11.400,    14.625,b'UV',50 mA,b'OK Read',10:28:27
1,1,64,100,   270.325,  1860.500,  3983.800,  1392.700,  3789.975,  8060.950,  2572.800,  2080.650,  6990.450,   675.750,  1683.075,   668.525,  3044.250,  1727.800,  2398.450,  4724.950,  2916.175,  1298.425,b'White IR',50 mA,b'OK Read',10:28:28
1,1,64,100,  5145.525,  2421.850,  3971.275,  1356.925,  3659.425,  7959.175,  2512.350,  1968.325,  6890.225,   590.000,  1599.575,   673.775,  3055.550,  1614.475,   503.775,   196.875,   109.025,   119.375,b'White UV',50 mA,b'OK Read',10:28:29
1,1,64,100,  5031.700,   714.875,   116.875,   125.175,   149.475,    84.000,   103.450,   152.825,    83.050,   147.775,   198.325,   115.275,   199.025,   224.525,  1936.300,  4548.050,  2829.925,  1203.425,b'UV IR',50 mA,b'OK Read',10:28:30
1,1,64,100,  4498.200,  2410.400,  4025.550,  1430.700,  3788.075,  8038.325,  2584.900,  2092.400,  6976.125,   698.300,  1724.825,   726.150,  3127.925,  1766.300,  2359.025,  4670.750,  2919.425,  1315.475,b'White UV IR',50 mA,b'OK Read',10:28:31
1,1,64,100,   263.200,  2513.500,  4977.150,  1710.150,  4779.575, 10508.325,  3291.575,  2571.750,  9063.825,   731.025,  2051.000,   815.225,  3962.500,  2104.150,   646.150,   253.950,   131.825,   141.300,b'White',100 mA,b'OK Read',10:28:33
1,1,64,100,   149.375,   135.175,   133.550,   154.250,   238.400,   119.550,   147.775,   252.075,   143.200,   222.250,   289.650,   126.800,   223.900,   318.625,  3281.175,  7658.075,  5628.900,  2635.825,b'IR',100 mA,b'OK Read',10:28:34
1,1,64,100,  6589.600,   836.300,    62.600,    58.125,    34.050,    27.450,    34.925,    28.725,    11.450,    46.250,    54.800,    69.150,   110.825,    62.025,    19.725,    11.425,    13.025,    17.050,b'UV',100 mA,b'OK Read',10:28:35
1,1,64,100,   372.275,  2259.175,  4515.950,  1649.775,  4408.700,  9314.525,  3009.450,  2488.150,  8081.550,   853.975,  2045.800,   826.750,  3614.200,  2112.700,  3793.725,  7823.575,  5728.175,  2760.050,b'White IR',100 mA,b'OK Read',10:28:36
1,1,64,100,  5695.650,  3125.275,  4922.900,  1716.850,  4675.500, 10236.925,  3228.425,  2524.725,  8837.575,   746.825,  2051.000,   872.850,  3971.550,  2108.425,   646.150,   251.075,   138.325,   151.025,b'White UV',100 mA,b'OK Read',10:28:37
1,1,64,100,  4979.550,   765.275,   177.375,   194.475,   261.125,   137.300,   170.625,   270.375,   148.925,   250.450,   336.625,   171.850,   294.025,   352.825,  3257.075,  7606.725,  5632.175,  2655.300,b'UV IR',100 mA,b'OK Read',10:28:38
1,1,64,100,  4232.625,  2719.725,  4503.425,  1658.725,  4333.025,  9128.750,  2965.100,  2455.500,  7924.050,   860.750,  1970.125,   857.150,  3593.825,  2089.200,  3614.125,  7612.425,  5680.975,  2794.175,b'White UV IR',100 mA,b'OK Read',10:28:39
1,1,64,150,    47.417,   386.450,  1228.467,   397.917,   988.967,  2171.133,   679.817,   535.500,  1914.900,   157.183,   368.800,   152.983,   699.617,   367.800,   128.500,    51.350,    30.383,    29.233,b'White',12.5 mA,b'OK Read',10:28:40
1,1,64,150,    20.550,    18.333,    18.083,    20.867,    30.267,    17.233,    19.700,    32.217,    19.100,    30.833,    36.533,    17.467,    33.167,    49.900,   487.717,  1150.800,   640.083,   254.967,b'IR',12.5 mA,b'OK Read',10:28:41
1,1,64,150,  3160.033,   427.700,    32.000,    26.833,    16.400,    12.917,    16.117,    13.067,     5.733,    21.817,    29.567,    29.333,    48.250,    29.933,    11.683,     7.617,     7.600,     8.117,b'UV',12.5 mA,b'OK Read',10:28:42
1,1,64,150,    66.400,   404.783,  1240.983,   417.283,  1028.067,  2202.350,   703.100,   568.600,  1943.550,   185.017,   405.333,   171.150,   741.833,   417.700,   620.600,  1205.967,   666.117,   280.967,b'White IR',12.5 mA,b'OK Read',10:28:43
1,1,64,150,  3183.750,   811.100,  1253.500,   423.250,  1011.667,  2194.817,   698.617,   551.183,  1928.267,   175.983,   415.767,   186.517,   755.400,   397.733,   137.267,    55.167,    34.717,    37.350,b'White UV',12.5 mA,b'OK Read',10:28:45
1,1,64,150,  3158.450,   441.450,    47.300,    47.683,    45.417,    28.000,    34.033,    43.533,    24.817,    48.133,    52.183,    44.017,    73.883,    71.283,   503.783,  1164.117,   644.417,   259.850,b'UV IR',12.5 mA,b'OK Read',10:28:46
1,1,64,150,  3163.200,   823.317,  1268.800,   442.633,  1041.950,  2210.967,   717.433,   580.783,  1949.267,   203.067,   443.600,   197.000,   768.983,   431.950,   624.983,  1207.867,   670.450,   287.450,b'White UV IR',12.5 mA,b'OK Read',10:28:47
1,1,64,150,    93.267,   835.550,  2238.500,   731.750,  1936.300,  4235.633,  1327.383,  1041.417,  3705.717,   301.583,   721.933,   298.283,  1385.667,   725.617,   246.783,    97.017,    54.250,    56.833,b'White',25 mA,b'OK Read',10:28:49
1,1,64,150,    42.683,    36.667,    36.167,    43.217,    63.067,    34.467,    40.300,    66.183,    40.100,    60.167,    76.550,    34.933,    64.833,    96.933,  1006.117,  2370.083,  1363.700,   552.167,b'IR',25 mA,b'OK Read',10:28:50
1,1,64,150,  4547.983,   594.200,    44.517,    40.233,    23.967,    18.300,    23.283,    19.150,     7.633,    30.833,    22.617,    41.917,    63.333,    38.483,    13.150,     7.617,     9.767,    11.367,b'UV',25 mA,b'OK Read',10:28:52
1,1,64,150,   134.367,   872.200,  2271.883,   773.483,  2000.633,  4275.483,  1366.783,  1105.850,  3743.900,   357.983,   798.483,   332.517,  1455.017,   822.567,  1245.600,  2461.400,  1413.600,   605.767,b'White IR',25 mA,b'OK Read',10:28:53
1,1,64,150,  4359.867,  1396.133,  2278.850,   769.000,  1951.433,  4241.017,  1346.183,  1057.083,  3705.717,   326.400,   786.300,   341.600,  1459.550,   761.267,   257.000,   100.817,    60.750,    66.583,b'White UV',25 mA,b'OK Read',10:28:55
1,1,64,150,  4310.867,   598.783,    75.133,    78.983,    83.250,    49.533,    60.900,    82.717,    45.817,    85.733,   109.600,    70.550,   117.600,   125.450,  1013.417,  2370.083,  1368.033,   560.300,b'UV IR',25 mA,b'OK Read',10:28:56
1,1,64,150,  4125.917,  1399.200,  2308.067,   806.267,  2015.767,  4278.717,  1383.800,  1119.783,  3749.617,   381.300,   819.367,   369.550,  1503.267,   843.950,  1236.833,  2449.983,  1417.933,   617.133,b'White UV IR',25 mA,b'OK Read',10:28:57
1,1,64,150,   188.117,  1779.533,  3919.117,  1312.967,  3643.017,  7936.033,  2488.167,  1946.117,  6876.850,   559.550,  1473.450,   575.617,  2765.300,  1454.100,   470.200,   182.600,    99.817,   105.567,b'White',50 mA,b'OK Read',10:28:59
1,1,64,150,    82.200,    71.800,    70.950,    83.450,   124.883,    65.700,    79.717,   131.483,    76.367,   118.083,   168.750,    68.467,   122.133,   181.050,  1889.567,  4477.683,  2817.433,  1203.417,b'IR',50 mA,b'OK Read',10:29:00
1,1,64,150,  5720.950,   736.250,    55.650,    50.667,    30.267,    22.617,    29.550,    24.383,     9.550,    39.100,    29.567,    55.883,    85.950,    48.467,    16.067,     9.517,    11.933,    14.617,b'UV',50 mA,b'OK Read',10:29:02
1,1,64,150,   268.733,  1852.867,  3984.500,  1394.933,  3781.767,  8035.100,  2566.083,  2076.717,  6968.500,   673.867,  1598.700,   651.767,  2953.783,  1676.483,  2356.850,  4648.867,  2915.083,  1308.983,b'White IR',50 mA,b'OK Read',10:29:03
1,1,64,150,  5185.050,  2422.617,  3971.983,  1357.683,  3644.283,  7916.633,  2502.500,  1960.050,  6859.667,   588.117,  1532.600,   644.783,  2882.917,  1518.250,   489.183,   190.217,   108.483,   118.550,b'White UV',50 mA,b'OK Read',10:29:05
1,1,64,150,  5072.817,   720.983,   116.867,   125.183,   148.850,    82.917,   103.900,   152.383,    84.000,   148.167,   191.350,   112.467,   188.467,   216.683,  1891.017,  4468.167,  2827.200,  1214.783,b'UV IR',50 mA,b'OK Read',10:29:06
1,1,64,150,  4536.917,  2408.867,  4023.450,  1430.700,  3776.733,  8000.650,  2573.250,  2086.300,  6947.500,   696.417,  1607.400,   701.367,  2970.367,  1675.050,  2298.433,  4589.900,  2914.000,  1326.850,b'White UV IR',50 mA,b'OK Read',10:29:07
1,1,64,150,   265.583,  2514.267,  5007.067,  1724.300,  4780.833, 10503.467,  3293.367,  2574.783,  9076.233,   732.517,  1986.633,   797.067,  3801.150,  2011.500,   630.833,   247.283,   132.350,   141.300,b'White',100 mA,b'OK Read',10:29:09
1,1,64,150,   147.017,   134.417,   130.783,   150.517,   235.883,   117.383,   145.100,   249.033,   139.367,   219.600,   306.167,   125.750,   220.133,   307.933,  3161.433,  7401.300,  5594.733,  2669.933,b'IR',100 mA,b'OK Read',10:29:10
1,1,64,150,  6644.133,   847.767,    64.000,    59.617,    34.067,    26.917,    34.933,    29.600,    11.450,    45.883,    55.667,    68.467,   101.017,    57.017,    18.983,    11.417,    13.017,    16.233,b'UV',100 mA,b'OK Read',10:29:12
1,1,64,150,   369.917,  2263.767,  4534.050,  1660.217,  4412.483,  9344.667,  3014.817,  2492.933,  8100.633,   852.850,  1955.333,   817.333,  3559.917,  2081.350,  3666.683,  7564.883,  5695.633,  2794.983,b'White IR',100 mA,b'OK Read',10:29:13
1,1,64,150,  5736.750,  3135.967,  4952.800,  1731.750,  4674.867, 10234.233,  3227.983,  2527.767,  8835.667,   748.317,  1995.333,   851.550,  3813.217,  2020.050,   636.667,   247.283,   137.783,   152.667,b'White UV',100 mA,b'OK Read',10:29:15
1,1,64,150,  5030.133,   771.383,   175.300,   192.250,   258.600,   134.617,   168.383,   269.067,   147.000,   248.183,   307.917,   169.050,   281.950,   339.283,  3126.400,  7351.833,  5600.167,  2689.417,b'UV IR',100 mA,b'OK Read',10:29:16
1,1,64,150,  4274.500,  2729.650,  4514.567,  1667.667,  4334.283,  9133.583,  2968.233,  2457.233,  7938.350,   858.867,  1995.333,   841.083,  3460.400,  2005.800,  3466.633,  7353.750,  5635.967,  2827.450,b'White UV IR',100 mA,b'OK Read',10:29:18
1,2,64,50,    42.700,   302.450,   976.650,   339.800,   753.050,  1828.650,   663.700,   527.650,  2033.250,   155.700,   370.550,   142.500,   624.250,   316.500,   127.050,    51.350,    29.300,    29.250,b'White',12.5 mA,b'OK Read',10:30:13
1,2,64,50,    18.950,    18.350,    16.700,    22.350,    30.250,    16.150,    24.200,    33.950,    22.900,    31.600,    52.200,    18.850,    36.200,    51.300,   530.050,  1215.500,   647.650,   258.200,b'IR',12.5 mA,b'OK Read',10:30:14
1,2,64,50,  2878.650,   389.500,    29.200,    26.850,    15.150,    12.900,    18.800,    13.050,     5.750,    20.300,    15.650,    25.150,    40.700,    25.650,    13.150,     5.700,     9.750,     9.750,b'UV',12.5 mA,b'OK Read',10:30:15
