Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1C,1,64,100,36621.255,33251.233,66589.258,66868.354,58150.605,19291.106,White LED,100 mA,b'OK Read',10:41:05
1C,1,64,150,7665.642,6926.325,13663.877,13757.316,12060.727,4024.043,White LED,12.5 mA,b'OK Read',10:41:06
1C,1,64,150,14837.99,13473.042,26731.961,26867.825,23487.424,7785.217,White LED,25 mA,b'OK Read',10:41:07
1C,1,64,150,27741.953,25269.313,50284.57,50463.571,43892.8,14512.842,White LED,50 mA,b'OK Read',10:41:08
1C,1,64,150,36623.213,33271.533,66605.365,66822.383,58025.527,19186.418,White LED,100 mA,b'OK Read',10:41:09
1C,1,64,200,7656.344,6922.773,13661.641,13756.524,12057.974,4022.133,White LED,12.5 mA,b'OK Read',10:41:10
1C,1,64,200,14834.075,13477.102,26693.94,26841.272,23443.372,7776.047,White LED,25 mA,b'OK Read',10:41:11
1C,1,64,200,27809.485,25236.833,50096.26,50315.347,43774.019,14498.705,White LED,50 mA,b'OK Read',10:41:13
1C,1,64,200,36637.405,33264.934,66503.379,66750.644,57931.133,19158.143,White LED,100 mA,b'OK Read',10:41:14
1C,1,64,250,7622.577,6908.461,13649.564,13737.024,12028.946,4005.398,White LED,12.5 mA,b'OK Read',10:41:15
1C,1,64,250,14816.457,13457.614,26676.496,26817.731,23420.717,7760.458,White LED,25 mA,b'OK Read',10:41:17
1C,1,64,250,27516.445,25151.572,50015.48,50181.703,43580.031,14377.434,White LED,50 mA,b'OK Read',10:41:19
1C,1,64,250,36657.664,33207.383,66455.07,62335.953,57840.512,19095.33,White LED,100 mA,b'Saturated Read',10:41:20
1C,2,64,50,7927.95,7015.644,13783.751,13920.603,12351.782,4163.119,White LED,12.5 mA,b'OK Read',10:41:24
1C,2,64,50,15245.154,13556.272,26848.257,27051.721,23887.033,7991.538,White LED,25 mA,b'OK Read',10:41:25
1C,2,64,50,28158.904,25437.803,50674.609,50883.677,44503.232,14763.485,White LED,50 mA,b'OK Read',10:41:27
1C,2,64,50,36879.648,33348.672,66820.063,67068.106,58573.027,19417.193,White LED,100 mA,b'OK Read',10:41:28
1C,2,64,100,7763.518,6954.745,13692.504,13796.948,12160.63,4064.543,White LED,12.5 mA,b'OK Read',10:41:29
1C,2,64,100,15095.404,13507.551,26738.223,26928.067,23698.242,7895.255,White LED,25 mA,b'OK Read',10:41:30
1C,2,64,100,28220.564,25349.497,50406.235,50645.884,44323.877,14699.296,White LED,50 mA,b'OK Read',10:41:31
1C,2,64,100,37085.188,33330.403,66696.611,67003.897,58570.669,19435.532,White LED,100 mA,b'OK Read',10:41:32
