,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time,Total Chlorophyll (µg/mg),Total Chlorophyll (µg/mg) std,Chlorophyll a (µg/mg),Chlorophyll a (µg/mg) std,Chlorophyll b (µg/mg),Chlorophyll b (µg/mg) std,Total Chlorophyll (µg/cm2),Total Chlorophyll (µg/cm2) std,Chlorophyll a (µg/cm2),Chlorophyll a (µg/cm2) std,Chlorophyll b (µg/cm2),Chlorophyll b (µg/cm2) std
5672,95,2,64,200,4435.248,2898.825,5752.6230000000005,5655.988,4546.372,1570.34,White LED,12.5 mA,b'OK Read',09:39:33,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5673,95,2,64,200,8664.956,5637.789000000001,11265.05,11063.479,8853.212,3057.0040000000004,White LED,25 mA,b'OK Read',09:39:34,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5674,95,2,64,200,13358.595,8638.621,17426.945,17104.697,13653.274,4720.189,White LED,50 mA,b'OK Read',09:39:35,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5675,95,2,64,200,14856.097,9573.431999999999,19300.203999999998,18960.698,15118.778999999999,5234.847,White LED,100 mA,b'OK Read',09:39:36,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5676,95,2,64,250,4436.128,2897.607,5746.45,5651.945,4538.584,1573.549,White LED,12.5 mA,b'OK Read',09:39:38,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5677,95,2,64,250,8664.368,5635.658,11251.362,11067.046,8845.896999999999,3061.8179999999998,White LED,25 mA,b'OK Read',09:39:40,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5678,95,2,64,250,13484.561000000002,8712.31,17568.916,17268.777,13769.618,4770.165,White LED,50 mA,b'OK Read',09:39:41,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5679,95,2,64,250,15105.386999999999,9720.809000000001,19641.846,19295.754,15391.35,5331.36,White LED,100 mA,b'OK Read',09:39:43,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5680,95,3,64,50,3969.847,2655.2270000000003,5829.109,5502.609,4630.149,1458.009,White LED,12.5 mA,b'OK Read',09:39:59,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5681,95,3,64,50,8256.812,5767.201,11105.366000000002,11033.753999999999,8434.327,3062.735,White LED,25 mA,b'OK Read',09:40:00,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5682,95,3,64,50,12725.827,8994.885,17240.423,17050.004,13206.07,4736.236,White LED,50 mA,b'OK Read',09:40:01,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5683,95,3,64,50,14299.673,10084.989,19365.956000000002,19161.636000000002,14824.971000000001,5323.108,White LED,100 mA,b'OK Read',09:40:03,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5684,95,3,64,100,4213.558,2996.265,5654.666,5604.861999999999,4368.198,1572.632,White LED,12.5 mA,b'OK Read',09:40:04,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5685,95,3,64,100,8215.705,5818.965999999999,11059.743,10952.903,8509.844000000001,3060.4429999999998,White LED,25 mA,b'OK Read',09:40:05,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5686,95,3,64,100,12763.999,8988.794,17213.586,17033.358,13203.711000000001,4749.991,White LED,50 mA,b'OK Read',09:40:06,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5687,95,3,64,100,14370.143,10081.944,19403.528000000002,19197.306,14879.248,5352.909000000001,White LED,100 mA,b'OK Read',09:40:07,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5688,95,3,64,150,4208.664000000001,2990.175,5641.246999999999,5589.8009999999995,4362.692,1571.104,White LED,12.5 mA,b'OK Read',09:40:08,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5689,95,3,64,150,8215.705,5809.831,11037.378,10930.708999999999,8495.685,3056.6220000000003,White LED,25 mA,b'OK Read',09:40:09,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5690,95,3,64,150,12806.086000000001,8996.915,17244.002,17064.271,13237.536,4768.331,White LED,50 mA,b'OK Read',09:40:10,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5691,95,3,64,150,14421.038,10093.109,19382.058999999997,19180.659,14875.316,5364.371999999999,White LED,100 mA,b'OK Read',09:40:11,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5692,95,3,64,200,4209.154,2988.652,5637.222,5585.838000000001,4362.298,1574.925,White LED,12.5 mA,b'OK Read',09:40:13,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5693,95,3,64,200,8217.173,5806.786,11024.853000000001,10918.423,8493.325,3062.735,White LED,25 mA,b'OK Read',09:40:14,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5694,95,3,64,200,12715.551000000001,8920.283000000001,17116.971,16941.807,13151.793,4746.552,White LED,50 mA,b'OK Read',09:40:15,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5695,95,3,64,200,14431.805,10084.989,19375.349,19173.525,14880.428999999998,5376.981,White LED,100 mA,b'OK Read',09:40:16,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
