Leaf number,940 nm,led,led current,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,82.85,b'White',50 mA,3,64,50,147,1388.5,3313.95,1050.7,2338.7,4678.25,1512.8,1178.1,3402.15,403.85,1341.25,494.6,2695.95,1223.15,306.65,159.8,81.35,82.85,b'White',50 mA,b'OK Read',09:45:27
1,1057.25,b'IR',50 mA,3,64,50,71.15,64.15,62.6,71.55,109.75,54.9,75.25,125.4,68.75,112.8,146.15,67.05,113.1,149.7,1283.55,4125.8,2685.1,1057.25,b'IR',50 mA,b'OK Read',09:45:28
1,97.45,b'White',100 mA,3,64,50,175.45,1654.3,3743.8,1198.2,2694.4,5385.8,1741.2,1355.75,3917.65,464.8,1544.8,591,3252.3,1479.75,368,188.3,91.15,97.45,b'White',100 mA,b'OK Read',09:45:30
1,2333.75,b'IR',100 mA,3,64,50,132.8,119.15,116.85,138.6,215.7,106.6,145.1,242.95,126,216.6,281.8,125.75,208.1,273.7,2242.95,7173.05,5412.5,2333.75,b'IR',100 mA,b'OK Read',09:45:31
1,24.35,b'White',12.5 mA,3,64,100,35.575,304.725,1062.2,326.375,652.8,1298.8,420.525,329.15,962.225,116.2,357.5,125.75,671.725,301.5,83.225,42.8,24.4,24.35,b'White',12.5 mA,b'OK Read',09:45:34
1,224.125,b'IR',12.5 mA,3,64,100,16.6,13.75,14.6,17.875,26.5,12.925,18.8,28.725,17.175,28.2,46.975,15.725,27.15,36.35,319.8,1021.45,602.1,224.125,b'IR',12.5 mA,b'OK Read',09:45:35
1,46.275,b'White',25 mA,3,64,100,73.5,662.175,1942.875,601.35,1269.625,2529.75,818.2,638.7,1858.575,222.25,714.975,260.925,1420.35,641.5,166.475,85.6,43.95,46.275,b'White',25 mA,b'OK Read',09:45:37
1,492.075,b'IR',25 mA,3,64,100,35.575,32.075,31.3,38,54.875,27.45,38.95,61.375,34.375,56.4,73.075,33.525,56.55,76.975,657.1,2105.7,1288.85,492.075,b'IR',25 mA,b'OK Read',09:45:38
1,87.7,b'White',50 mA,3,64,100,151.75,1393.075,3328.525,1059.625,2342.475,4679.875,1514.125,1179.425,3410.75,406.125,1409.1,527.075,2926.625,1332.2,328.55,168.35,81.375,87.7,b'White',50 mA,b'OK Read',09:45:40
1,1074.3,b'IR',50 mA,3,64,100,71.125,61.875,62.6,73.775,109.75,54.925,76.575,125.375,68.725,112.8,159.175,67.075,110.825,147.55,1248.525,4028.775,2678.575,1074.3,b'IR',50 mA,b'OK Read',09:45:41
